# File: A62.globaltech_cost_ssp5.csv
# Title: dac default costs. dac to liquids reflect carbon capture costs only, with H2 production costs included in H2 input coefs or added downstream for wind and solar
# Units: 1975$/kgC for dac, 1975$/GJ for process heat dac
# Column types: ccccnnnn
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2020,2050,2100
CO2 removal,dac,hightemp DAC NG,capital.overnight,1763,1763,1146,1146
CO2 removal,dac,hightemp DAC NG,OM.fixed,76,76,42,42
CO2 removal,dac,hightemp DAC NG,OM.var,0,0,0,0
CO2 removal,dac,hightemp DAC NG,fixed.charge.rate,0.13,0.13,0.13,0.13
CO2 removal,dac,hightemp DAC elec,capital.overnight,2300,2300,1146,1146
CO2 removal,dac,hightemp DAC elec,OM.fixed,85,85,42,42
CO2 removal,dac,hightemp DAC elec,OM.var,0,0,0,0
CO2 removal,dac,hightemp DAC elec,fixed.charge.rate,0.13,0.13,0.13,0.13
CO2 removal,dac,lowtemp DAC heatpump,capital.overnight,800,800,600,600
CO2 removal,dac,lowtemp DAC heatpump,OM.fixed,260,260,150,150
CO2 removal,dac,lowtemp DAC heatpump,OM.var,0,0,0,0
CO2 removal,dac,lowtemp DAC heatpump,fixed.charge.rate,0.13,0.13,0.13,0.13
CO2 removal,no CDR,no CDR,non-energy,0.001,0.001,0.001,0.001
process heat dac,gas CCS,gas CCS,non-energy,0,0,0,0
refining,dac to liquids,industrial hydrogen,non-energy,0.81322807,0.81322807,0.81322807,0.81322807
refining,dac to liquids,on-site electrolysis (wind),non-energy,0.81322807,0.81322807,0.81322807,0.81322807
refining,dac to liquids,on-site electrolysis (solar),non-energy,0.81322807,0.81322807,0.81322807,0.81322807
refining,dac to liquids,on-site electrolysis (grid electricity),non-energy,0.81322807,0.81322807,0.81322807,0.81322807
CO2 removal,dac,direct ocean capture (stand-alone),non-energy,1.635004398,1.635004398,1.635004398,1.635004398
desalinated water,direct ocean capture,direct ocean capture (co-located with desal),desal only,0.38,0.38,0.38,0.38
desalinated water,direct ocean capture,direct ocean capture (co-located with desal),carbon capture,0.023666136,0.023666136,0.023666136,0.023666136
