# File: IEA_CCUS_Projects_Database_2025.csv
# Title: Operational + Under Construction CCUS Capacity
# Units: MtCO2 per year
# Source: IEA 2025 https://www.iea.org/data-and-statistics/data-product/ccus-projects-database#
# Column types: ciccciiiicncncccc
# ----------
Project name,ID,Country,Partners,Project type,Announcement,FID,Operation,Suspension/decommissioning/cancellation,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),1,France,"ArcelorMittal, ifp, Axens, Uetikon, Grassco, brevik, TotalEnergies (T&S)",Capture,2019,,2025,,Cancelled,2,0.7,0.7,Iron and steel,Unknown/unspecified,,Europe
8Rivers H2 (8RH2) (WY),3,United States,"8Rivers, Wyoming Energy Authority",Capture,2022,,,,Planned,,,,Hydrogen or ammonia,Dedicated storage,,North America
Emirates Steel Industries,4,United Arab Emirates,"ADNOC, Masdar",Full chain,2007,2012,2016,,Operational,,0.8,0.8,Iron and steel,EOR,,Middle East
Habshan-Bab gas plant,5,United Arab Emirates,"ADNOC, Petrofac (EPC), Levidian",Full chain,2020,2023,2026,,Under construction,,1.5,1.5,Natural gas processing/LNG,EOR,,Middle East
Shah gas plant (Abu Dhabi CCS Phase 2),6,United Arab Emirates,ADNOC,Full chain,2020,,2030,,Planned,2,2.3,2.3,Natural gas processing/LNG,EOR,,Middle East
Acorn CCS phase 1-Capture at St Fergus,7,United Kingdom,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",Capture,2016,2025,2028,,Planned,1,0.3,0.3,Natural gas processing/LNG,Dedicated storage,Acorn CCS,Europe
Acorn CCS phase 1-T&S,8,United Kingdom,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",T&S,2016,2025,2028,,Planned,1,0.3 - 0.8,0.8,T&S,Dedicated storage,Acorn CCS,Europe
Acorn CCS phase 2,9,United Kingdom,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",T&S,2017,,,,Planned,2,5,5,T&S,Dedicated storage,Acorn CCS,Europe
Acorn H2,10,United Kingdom,"Storegga, Chrysaor, Shell",Capture,2018,,2028,,Planned,,0.4,0.4,Hydrogen or ammonia,Dedicated storage,Acorn CCS,Europe
Adbri Project,11,Australia,"Leilac, Adbri, CarbonTP, Heavy Industry Low Emissions Technology Co-Operative Research Centre",Capture,2021,,,,Planned,,,,Cement,Dedicated storage,South West Hub Project,Australia and New Zealand
Mt Simon Hub CCS Pipeline (IA),12,United States,"ADM, Wolf Carbon Solutions (Wolf Midstream)",Transport,2022,2025,2028,2023,Cancelled,,12,12,Transport,Dedicated storage,Mt Simon Hub CCS Pipeline (IA),North America
ADM Cedar rapids bioethanol (IA),13,United States,ADM,Capture,2022,,2028,,Planned,,,,Biofuels,Dedicated storage,Mt Simon Hub CCS Pipeline (IA),North America
ADM Clinton bioethanol (IA),14,United States,ADM,Capture,2022,,2028,,Planned,,,,Biofuels,Dedicated storage,Mt Simon Hub CCS Pipeline (IA),North America
Aemetis CCS Keyes facility (CA),15,United States,Aemetis,Capture,2021,,2026,,Planned,,0.2,0.2,Biofuels,Dedicated storage,Aemetis CCS,North America
Aemetis CCS Riverbank facility (CA),16,United States,Aemetis,Capture,2021,,2026,,Planned,,0.2,0.2,Biofuels,Dedicated storage,Aemetis CCS,North America
Air Liquide hydrogen facility Rotterdam,18,Netherlands,"Air Liquide (build, own, operate)",Capture,2012,2023,2026,,Under construction,,0.5,0.5,Other fuel transformation,Dedicated storage,Porthos,Europe
Aramis CCS transport phase 1,19,Netherlands,"TotalEnergies, Shell, EBN, Gasunie, ",Transport,2019,2025,2029,,Planned,1,22,22,Transport,Dedicated storage,Aramis CCS,Europe
Net-zero Hydrogen Energy Complex (ALB),20,Canada,Air Products,Capture,2021,2022,2025,,Under construction,,3,3,Hydrogen or ammonia,Unknown/unspecified,Alberta Carbon Trunk Line (ACTL),North America
AirCapture DACU at Nutrien Kennewick Fertilizer (WA),21,United States,"AirCapture, Nutrien",CCU,2022,,,,Planned,,,,DAC,Use,,North America
AirCapture Nuclear DAC at JM Farley Nuclear (AL),22,United States,"Southern Company, Battelle, AirCapture LLC",Capture,2022,,,,Planned,,,,DAC,Dedicated storage,,North America
Merritt Electrofuels Project DAC (BC),23,Canada,"Huron Clean Energy , Oxy Low Carbon Ventures, Carbon Engineering  (Oxy)",CCU,2021,,2026,,Planned,,0.25,0.25,DAC,Use,,North America
Alberta Carbon Grid (ALB) phase 1 (Industrial heartland),24,Canada,"Pembina Pipeline Corporation, TC Energy",T&S,2021,2026,2028,,Planned,1,10,10,T&S,Dedicated storage,Alberta Carbon Grid (ALB),North America
Alberta Carbon Trunk Line (ACTL) (ALB),25,Canada,"Wolf Carbon Solutions (Wolf Midstream, Enhance Energy)",Transport,2011,2018,2020,,Operational,,14.6,14.6,Transport,EOR,Alberta Carbon Trunk Line (ACTL)/Enhance Clive Sequestration Facility,North America
Altera Stella Maris CCS Project Phase 2,28,Norway,"Altera, Hoegh LNG, Sevan SSP (FEED), Wintershall Dea (Harbour Energy)",T&S,2020,,,,Planned,2,3,3,T&S,Dedicated storage,Altera Stella Maris CCS/ Havstjerne ,Europe
Aluminium Bahrain Mistubishi Heavy Industries capture,29,Bahrain,"Aluminium Bahrain (Alba), Mistubishi Heavy Industries (Feasibility/tech)",Capture,2022,,,,Planned,,,,Other industry,Unknown/unspecified,,Middle East
Antwerp@ C CO2 Export Hub phase 1,31,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, TotalEnergies, Fluxys, Port of Antwerp",Transport,2019,2025,2027,,Planned,1,2.5,2.5,Transport,Dedicated storage,Antwerp@C,Europe
Aramis CCS storage phase 1,32,Netherlands,"TotalEnergies, Shell, EBN, Gasunie, Petrofac (FEED)",Storage,2019,2025,2029,,Planned,1,7.7,7.7,Storage,Dedicated storage,Aramis CCS,Europe
Aramis CCS storage phase 2,33,Netherlands,"TotalEnergies, Shell, EBN, Gasunie",Storage,2019,,2030,,Planned,2,3.1,3.1,Storage,Dedicated storage,Aramis CCS,Europe
Arcelor LanzaTech Carbalyst (Steelanol) Ghent,34,Belgium,"ArcelorMittal, LanzaTech, Primetals Technologies, E4tech",CCU,2011,2015,2022,,Operational,,0.125,0.125,Iron and steel,Use,,Europe
Arkalon CO2 Compression Facility (KS),35,United States,Conestoga Energy,Full chain,,,2009,,Operational,,0.19 - 0.31,0.31,Biofuels,EOR,,North America
Arthit offshore gas field CCS,36,Thailand,"PTTEP, Honeywell (tech and FEED)",Full chain,2021,,2027,,Planned,,,,Natural gas processing/LNG,Dedicated storage,,Other Asia Pacific
Arun CCS,37,Indonesia,"Carbon Aceh, PEMA (JV)",Storage,2022,,2029,,Planned,,,,Storage,Dedicated storage,Arun CCS,Other Asia Pacific
Eastern Louisiana Clean Energy Complex (LA) ,38,United States,Air Products,Full chain,2021,2023,2028,,Under construction,,5,5,Hydrogen or ammonia,Dedicated storage,,North America
Atlas Carbon Sequestration Hub Phase 1 (ALB),39,Canada,"Shell Canada Limited, ATCO EnPower",T&S,2021,2024,2028,,Under construction,1,0.65,0.65,T&S,Dedicated storage,Atlas Carbon Sequestration Hub (ALB),North America
Atlas Carbon Sequestration Hub Phase 2 (ALB),40,Canada,"Shell Canada Limited, ATCO Energy Solutions",T&S,2022,,2026,,Planned,2,9.25,9.25,T&S,Dedicated storage,Atlas Carbon Sequestration Hub (ALB),North America
Aukra Hydrogen Hub,41,Norway,"Aker Horizons, Shell, CapeOmega",Full chain,2021,2025,2030,2024,Cancelled,,,,Hydrogen or ammonia,Unknown/unspecified,,Europe
Aved re Power Station CCS,42,Denmark,"Orsted, Aker Carbon Capture (tech)",Capture,2021,2023,2026,,Under construction,1,0.15,0.15,Power and heat,Dedicated storage,Kalundborg hub/Northern Lights,Europe
Balikpapan Refinery,43,Indonesia,"Pertamina, Air Liquide",Full chain,2022,,2030,,Planned,,1.4,1.4,Other fuel transformation,Use and storage,Kutai Basin CCUS hub,Other Asia Pacific
Barents Blue ammonia project Train 1,44,Norway,Horisont Energi ,Capture,2021,2026,2030,,Planned,1,1.84 - 2,2,Hydrogen or ammonia,Dedicated storage,Polaris offshore storage facility (Errai project),Europe
Barents Blue ammonia project Train 2,45,Norway,Horisont Energi,Capture,2021,,,,Planned,2,1.84 - 2,2,Hydrogen or ammonia,Dedicated storage,Polaris offshore storage facility (Errai project),Europe
Barents Blue ammonia project Train 3,46,Norway,Horisont Energi ,Capture,2021,,,,Planned,3,1.84 - 2,2,Hydrogen or ammonia,Dedicated storage,Polaris offshore storage facility (Errai project),Europe
Barossa and Darwin liquefied natural gas (DLNG) CCUS,47,Australia,"Santos (43.4%), SK E&S, JERA",Capture,2021,2025,2026,,Planned,,2.3,2.3,Natural gas processing/LNG,Dedicated storage,Bayu-Undan field storage hub,Australia and New Zealand
Bayou Bend East offshore (TX),49,United States,"Chevron (50%), Talos Energy (TotalEnergies) (25% and operator), Equinor (25%)",Storage,2021,2026,2029,,Planned,,10,10,Storage,Dedicated storage,Bayou Bend CCS offshore (TX),North America
Bayu-Undan field storage hub Timor-Leste phase 1,50,Australia-Timor Leste,"Santos (36.5%), SK E&S (21%), Timor GAP (16%), INPEX (9.6%), Eni SPA (9.2%), Tokyo Timor Sea Resources Pty Ltd. (7.6%).",T&S,2021,2025,2028,,Planned,1,2.3,2.3,T&S,Dedicated storage,Bayu-Undan field storage hub,Australia and New Zealand
Soderenergi Igelsta plant,51,Sweden,"Soderenergi, Aker Carbon Capture (feasibility) (first feasibility by biorecro)",Capture,2020,2026,2030,,Planned,,0.5,0.5,Power and heat,Dedicated storage,,Europe
Bonanza BioEnergy CCUS (KS),53,United States,"Conestoga Energy, Gary Climate Solutions Gary Climate Solutions",Full chain,2010,,2012,,Operational,,0.1 - 0.16,0.16,Biofuels,EOR,,North America
Berrima cement plant (NSW),54,Australia,"Boral, Calix",CCU,2022,,,,Cancelled,,0.1,0.1,Cement,Use,,Australia and New Zealand
Borealis Antwerp CCS,55,Belgium,Borealis,Capture,2021,2025,2030,,Planned,,,,Chemicals,Unknown/unspecified,,Europe
Borregaard / SAE (Borg CO2) (2 facilities),56,Norway,"Borg Havn, Borregaard",Capture,2019,,2035,,Planned,,0.15,0.15,Power and heat,Dedicated storage,Northern Lights,Europe
Boryeong Blue hydrogen,57,South Korea,"SK E&S, Air Liquide Engineering and Construction (H2 production and liquefaction), GE Vernova, Korea Midland Power, Santos, etc.",Full chain,2021,,2028,,Planned,,2,2,Hydrogen or ammonia,Dedicated storage,,Other Asia Pacific
Boundary Dam CCS (SASK),59,Canada,Saskpower,Capture,2008,2011,2014,,Operational,,1,1,Power and heat,EOR,,North America
Bridgeport Energy Moonie CCUS Project,60,Australia,Bridgeport Energy Limited,T&S,2018,,2025,,Cancelled,,0.12,0.12,T&S,EOR,Bridgeport Energy Moonie CCUS Project,Australia and New Zealand
Broadwing Clean Energy Complex (IL),62,United States,"Warwick, ADM",Capture,2021,2025,2028,,Planned,,2.8,2.8,Power and heat,Dedicated storage,ADM Decatur Campus CO2 Storage Site Expansion (IL),North America
Bushmills Ethanol Atwater (MN),63,United States,"Bushmills Ethanol, Summit Carbon Solutions",Capture,2022,,2026,,Planned,,0.23,0.23,Biofuels,Dedicated storage,Midwest carbon express,North America
CalCapture (Elk Hills) (CA) ,64,United States,"Next carbon solutions (NextDecade), California Resource Corporation (Carbon TerraVault)",Capture,2019,2025,2026,,Planned,,1.4 - 1.5,1.4,Power and heat,Dedicated storage,Carbon TerraVault 1,North America
Caledonia Clean Energy (previously Captain Clean Energy),65,United Kingdom,Summit Power,Full chain,2012,,2028,,Planned,,3,3,Power and heat,Dedicated storage,,Europe
Carbon America Sterling ethanol (CO),68,United States,Carbon America,Full chain,2022,2025,2028,,Planned,,0.35,0.35,Biofuels,Dedicated storage,,North America
Carbon America Yuma ethanol (CO),69,United States,Carbon America,Full chain,2022,2025,2028,,Planned,,,,Biofuels,Dedicated storage,,North America
Carbon Capture at Ince Fertiliser Site,70,United Kingdom,CF Fertilisers,Capture,2018,,,2022,Cancelled,,0.4,0.4,Chemicals,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,72,Austria,"Holcim Group, OMV, Verbund, Borealis",CCU,2020,,2030,,Planned,1,0.7,0.7,Cement,Use,,Europe
CarbonCapture DACU Carbon Cure at Gary Works (IN),73,United States,"CarbonCapture, CarbonCure, US Steel",CCU,2022,,,,Planned,,0.005,0.005,DAC,Use,,North America
CarbonNet,75,Australia,"Victorian Government/Australian Government, (DNV)",T&S,2010,2025,2030,,Planned,,6,6,T&S,Dedicated storage,CarbonNET,Australia and New Zealand
CCUS at Red Hills natural gas processing complex (NM) EOR Phase 2,77,United States,Targa Resources Group,Full chain,2022,2022,2025,,Under construction,1,0.36,0.36,Natural gas processing/LNG,EOR,,North America
CCUS at Red Hills natural gas processing complex (NM) EOR Phase 3,78,United States,Targa Resources Group,Full chain,2022,,2026,,Planned,2,0.26,0.26,Natural gas processing/LNG,EOR,,North America
Cementa Slite plant,79,Sweden,"Heidelberg Materials, Cementa",Capture,2021,2026,2029,,Planned,,1.8,1.8,Cement,Dedicated storage,,Europe
Century plant (TX),80,United States,"Mitchell group, Sandridge Energy",Full chain,2008,2008,2010,,Operational,,4.32 - 5,4.32,Natural gas processing/LNG,EOR,,North America
Cerilon gas-to-liquids complex (ND),81,United States,Cerilon GTL,Full chain,2021,,2029,,Planned,1,2,2,Other fuel transformation,Dedicated storage,,North America
CF Industries and Mitsui Blue ammonia complex (LA),82,United States,"CF Industries, Mitsui",Full chain,2022,2025,2027,,Planned,,,1.57,Hydrogen or ammonia,Unknown/unspecified,,North America
Changling Gas plant /Jilin Oil Field CO2-EOR Full-scale (Jilin),83,People's Republic of China,"PetroChina, CNPC",Full chain,2006,2015,2018,,Operational,,0.43 - 0.6,0.6,Natural gas processing/LNG,EOR,,Other Asia Pacific
China Energy Taizhou power (Jiangsu),85,People's Republic of China,China Energy,Full chain,2021,2021,2023,,Operational,,0.5,0.5,Power and heat,EOR and use,,Other Asia Pacific
China Energy Guohua Jinjie Power (Shaanxi),86,People's Republic of China,China Energy,Full chain,2018,2019,2021,,Operational,,0.15,0.15,Power and heat,EOR and use,,Other Asia Pacific
CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,87,Sweden,"Nordion Energi, G teborg Energi, Renova, Gothenburg Port Authority, Preem, St1.",Transport,2020,,,,Planned,,1.5,1.5,Transport,Dedicated storage,CinfraCap,Europe
Amager Bakke/Amager Resource Centre (ARC),89,Denmark,"ARC, Babcock & Wilcox, Copenhagen Port",Capture,2020,,2026,,Planned,,0.5,0.5,Power and heat,Dedicated storage,,Europe
Climeworks DAC at Brawley Geothermal (CA),90,United States,"University of Illinios, Climeworks",Full chain,2022,,,,Planned,,0.005,0.005,DAC,Dedicated storage,,North America
Climeworks Norsk e fuel phase 1,91,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020,2025,2026,,Planned,1,0.039,0.039,DAC,Use,,Europe
Climeworks Norsk e fuel phase 2,92,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020,,2026,,Planned,2,0.035,0.035,DAC,Use,,Europe
Climeworks Norsk e fuel phase 3,93,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020,,2029,,Planned,3,0.184,0.184,DAC,Use,,Europe
Enhance Clive Sequestration Facility (ACTL) (ALB),94,Canada,Enhance Energy,Storage,2011,2018,2020,,Operational,,1.5,1.5,Storage,EOR,Alberta Carbon Trunk Line (ACTL)/Enhance Clive Sequestration Facility (ALB),North America
CNOOC Enping offshore CCS (Hong Kong),95,People's Republic of China,CNOOC,Full chain,2021,2021,2023,,Operational,,0.3,0.3,Other fuel transformation,Dedicated storage,,Other Asia Pacific
CNPC China Northwest hub phase 1 (Xinjiang),96,People's Republic of China,"CNPC, OGCI",T&S,2019,2025,2026,,Planned,1,1,1,T&S,EOR,CNPC China Northwest hub (Xinjiang),Other Asia Pacific
CNPC China Northwest hub phase 2 (Xinjiang),97,People's Republic of China,"CNPC, OGCI",T&S,2019,,2030,,Planned,2,2,2,T&S,EOR,CNPC China Northwest hub (Xinjiang),Other Asia Pacific
CNPC China Northwest hub refinery hydrogen (Xinjiang) ,99,People's Republic of China,"CNPC, OGCI",Capture,2019,2025,2026,,Planned,,1,1,Other fuel transformation,EOR,CNPC China Northwest hub (Xinjiang),Other Asia Pacific
CO2 capture at Coal Creek (ND),100,United States,"EERC, NDIC, Rainbow Energy, Mitshubishi HI, Kiewit",Capture,2021,2025,,,Planned,,,,Power and heat,Dedicated storage,Coal creek capture: site characterisation and permitting (ND),North America
CO2 TO METHANOL Finnfjord Ferrosilicon,101,Norway,"Statkraft, Carbon Recycling International",CCU,2017,2025,,,Planned,,0.3,0.3,Iron and steel,Use,,Europe
Coda terminal Phase 1,102,Island,"Carbfix, Dan-unity CO2",T&S,2021,2025,2028,,Planned,1,0.7,0.7,T&S,Dedicated storage,Coda terminal,Europe
Coda terminal Phase 2,103,Island,"Carbfix, Dan-unity CO2",T&S,2021,,2030,,Planned,2,0.7,0.7,T&S,Dedicated storage,Coda terminal,Europe
Coda terminal phase 3,104,Island,"Carbfix, Dan-unity CO2",T&S,2021,,2032,,Planned,3,1.6,1.6,T&S,Dedicated storage,Coda terminal,Europe
Coffeyville fertiliser Plant (KS),105,United States,"Coffeyville Resources, Chaparral Energy, Coffeyville Resource Nitrogen Fertilizers",Full chain,2011,2011,2013,,Operational,,0.7 - 0.9,0.9,Chemicals,EOR,,North America
Core Energy CO2-EOR South Chester plant (MI),106,United States,Core Energy,Full chain,,,2003,,Operational,,0.35,0.35,Natural gas processing/LNG,EOR,,North America
Corn LP Goldfield biorefinery (IA),107,United States,"Corn LP, Summit Carbon Solutions",Capture,2021,2026,2028,,Planned,,0.18 - 0.22,0.215,Biofuels,Dedicated storage,Midwest carbon express,North America
CORY EfW plant Belvedere,110,United Kingdom,"Cory, Shell, Technip",Full chain,2021,,2030,,Planned,,1.3 - 1.5,1.3,Power and heat,Dedicated storage,Viking CCS,Europe
Coyote Clean Power Project (CO),111,United States,"8Rivers, Southern Ute Indian Reservation",Full chain,2021,2025,2026,,Planned,,0.865,0.865,Power and heat,Unknown/unspecified,,North America
CRP Haifeng Project (Guangdong),112,People's Republic of China,China Resources Power,Capture,2013,,2030,,Planned,1,1,1,Power and heat,Unknown/unspecified,,Other Asia Pacific
CTSCo Project,114,Australia,"Glencore Carbon Transport Storage Company (CTSCo), China Huaneng (capture tech, MoU)",Full chain,2010,2022,2026,,Cancelled,,0.11,0.11,Power and heat,Dedicated storage,,Australia and New Zealand
STRATOS (TX) - phase 1,115,United States,"1PointFive,Occidental, Blackrock, NYK (agreed to buy carbon credits)",Full chain,2019,2022,2025,,Under construction,1,0.25,0.25,DAC,EOR and storage,,North America
STRATOS (TX) - phase 2,116,United States,"1PointFive, Oxy low carbon ventures (Occidental), Blackrock",Full chain,2019,2022,2026,,Under construction,2,0.25,0.25,DAC,EOR and storage,,North America
Dakota Ethanol Wentworth biorefinery (SD),117,United States,"Dakota Ethanol, Summit Carbon Solutions",Capture,2021,2026,2028,,Planned,,0.22 - 0.26,0.257,Biofuels,Dedicated storage,Midwest carbon express,North America
Dakota H2 Hub (ND),118,United States,"Bakken Energy, Mistubishi Heavy Industries (as Mitsubishi Power Americas), Mandan, Hidatsa, Arikara Nation",Full chain,2021,,2027,,Planned,,,2.712,Hydrogen or ammonia,Dedicated storage,,North America
Dalmia Cement (Bharat) Tamil Nadu,119,India,"Dalmia Cement, Carbon Clean",CCU,2019,,,,Planned,,0.5,0.5,Cement,Use low impact,,Other Asia Pacific
Dalstur Energy Coal India coal hydrogen,120,India,"Dalstur Energy (Kolkata), Coal India (CIL)",Capture,2022,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Other Asia Pacific
D'Artagnan Dunkirk CO2 Hub Phase 1,121,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021,,2027,,Planned,1,3,3,Transport,Dedicated storage,D'Artagnan/Nautilus,Europe
D'Artagnan Dunkirk CO2 Hub Phase 2,122,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021,,2031,,Planned,2,1.4,1.4,Transport,Dedicated storage,D'Artagnan/Nautilus,Europe
D'Artagnan Dunkirk CO2 Hub Phase 3,123,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021,,2035,,Planned,3,5.6,5.6,Transport,Dedicated storage,D'Artagnan/Nautilus,Europe
Illinois Basin Decatur Project (IL),124,United States,"ADM, Midwest Geological Sequestration Consortium",Full chain,2009,2011,2011,2014,Decommissioned,,0.33,0.33,Biofuels,Dedicated storage,ADM Decatur Campus CO2 Storage Site Expansion (IL),North America
DelpHYnus hydrogen production Theddlethorpe,125,United Kingdom,Neptune Energy (Eni),Capture,2021,,2027,2023,Cancelled,,8-May,5,Hydrogen or ammonia,Dedicated storage,Delphynus,Europe
Delta Rhyne Corridor ,126,Germany-Netherlands,0,Transport,2021,2025,2027,,Planned,,22,22,Transport,Dedicated storage,,Europe
Denbury / Mitsubishi Gulf Coast ammonia project (TBD),127,United States,"Mitsubishi, ExxonMobil (formerly Denbury carbon solutions)",T&S,2021,,,,Planned,,1.8,1.8,T&S,Dedicated storage,,North America
Dow Fort Saskatchewan Path2Zero (ALB),129,Canada,"Dow Chemical, Linde, Fluor, Wolf Midstream",Capture,2021,2023,2028,,Under construction,,2,2,Chemicals,Unknown/unspecified,Alberta Carbon Trunk Line (ACTL),North America
Drax BECCS Project (Phase 1),130,United Kingdom,"Drax, Worley (FEED), Mistubishi Heavy Industries (tech)",Capture,2019,2025,2027,,Planned,1,4.3,4.3,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Drax BECCS Project (Phase 2),131,United Kingdom,"Drax, Worley (FEED), Mistubishi Heavy Industries (tech)",Capture,2019,2025,2030,,Planned,2,3.7,3.7,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Dry Fork Integrated Commercial CCS/Wyoming CarbonSafe (WY),132,United States,"MTR Carbon Capture, Basin Electric Power Cooperative, Electric Power Research Institute, University of Wyoming, Bismarck",Full chain,2016,,2026,,Planned,1,3,3,Power and heat,Dedicated storage,Wyoming CarbonSAFE (WY),North America
